NOT SIGN, 172
SOFT HYPHEN, 173
REGISTERED SIGN, 174
MACRON, 175
DEGREE SIGN, 176
PLUS MINUS SIGN, 177
SUPERSCRIPT TWO, 178
SUPERSCRIPT THREE, 179
ACUTE ACCENT, 180
MICRO SIGN, 181
PILCROW SIGN, 182
MIDDLE DOT, 183
CEDILLA, 184
SUPERSCRIPT ONE, 185
MASCULINE ORDINAL INDICATOR, 186
RIGHT POINTING DOUBLE ANGLE QUOTATION MARK, 187
VULGAR FRACTION ONE QUARTER, 188
VULGAR FRACTION ONE HALF, 189
VULGAR FRACTION THREE QUARTERS, 190
INVERTED QUESTION MARK, 191
LATIN CAPITAL LETTER A WITH GRAVE, 192
LATIN CAPITAL LETTER A WITH ACUTE, 193
LATIN CAPITAL LETTER A WITH CIRCUMFLEX, 194
LATIN CAPITAL LETTER A WITH TILDE, 195
LATIN CAPITAL LETTER A WITH DIAERESIS, 196
LATIN CAPITAL LETTER A WITH RING ABOVE, 197
LATIN CAPITAL LETTER AE, 198
LATIN CAPITAL LETTER C WITH CEDILLA, 199
LATIN CAPITAL LETTER E WITH GRAVE, 200
LATIN CAPITAL LETTER E WITH ACUTE, 201
LATIN CAPITAL LETTER E WITH CIRCUMFLEX, 202
LATIN CAPITAL LETTER E WITH DIAERESIS, 203
LATIN CAPITAL LETTER I WITH GRAVE, 204
LATIN CAPITAL LETTER I WITH ACUTE, 205
LATIN CAPITAL LETTER I WITH CIRCUMFLEX, 206
LATIN CAPITAL LETTER I WITH DIAERESIS, 207
LATIN CAPITAL LETTER ETH, 208
LATIN CAPITAL LETTER N WITH TILDE, 209
LATIN CAPITAL LETTER O WITH GRAVE, 210
LATIN CAPITAL LETTER O WITH ACUTE, 211
LATIN CAPITAL LETTER O WITH CIRCUMFLEX, 212
LATIN CAPITAL LETTER O WITH TILDE, 213
LATIN CAPITAL LETTER O WITH DIAERESIS, 214
MULTIPLICATION SIGN, 215
LATIN CAPITAL LETTER O WITH STROKE, 216
LATIN CAPITAL LETTER U WITH GRAVE, 217
LATIN CAPITAL LETTER U WITH ACUTE, 218
LATIN CAPITAL LETTER U WITH CIRCUMFLEX, 219
LATIN CAPITAL LETTER U WITH DIAERESIS, 220
LATIN CAPITAL LETTER Y WITH ACUTE, 221
LATIN CAPITAL LETTER THORN, 222
LATIN SMALL LETTER SHARP S, 223
LATIN SMALL LETTER A WITH GRAVE, 224
LATIN SMALL LETTER A WITH ACUTE, 225
LATIN SMALL LETTER A WITH CIRCUMFLEX, 226
LATIN SMALL LETTER A WITH TILDE, 227
LATIN SMALL LETTER A WITH DIAERESIS, 228
LATIN SMALL LETTER A WITH RING ABOVE, 229
LATIN SMALL LETTER AE, 230
LATIN SMALL LETTER C WITH CEDILLA, 231
LATIN SMALL LETTER E WITH GRAVE, 232
LATIN SMALL LETTER E WITH ACUTE, 233
LATIN SMALL LETTER E WITH CIRCUMFLEX, 234
LATIN SMALL LETTER E WITH DIAERESIS, 235
LATIN SMALL LETTER I WITH GRAVE, 236
LATIN SMALL LETTER I WITH ACUTE, 237
LATIN SMALL LETTER I WITH CIRCUMFLEX, 238
LATIN SMALL LETTER I WITH DIAERESIS, 239
LATIN SMALL LETTER ETH, 240
LATIN SMALL LETTER N WITH TILDE, 241
LATIN SMALL LETTER O WITH GRAVE, 242
LATIN SMALL LETTER O WITH ACUTE, 243
LATIN SMALL LETTER O WITH CIRCUMFLEX, 244
LATIN SMALL LETTER O WITH TILDE, 245
LATIN SMALL LETTER O WITH DIAERESIS, 246
DIVISION SIGN, 247
LATIN SMALL LETTER O WITH STROKE, 248
LATIN SMALL LETTER U WITH GRAVE, 249
LATIN SMALL LETTER U WITH ACUTE, 250
LATIN SMALL LETTER U WITH CIRCUMFLEX, 251
LATIN SMALL LETTER U WITH DIAERESIS, 252
LATIN SMALL LETTER Y WITH ACUTE, 253
LATIN SMALL LETTER THORN, 254
LATIN SMALL LETTER Y WITH DIAERESIS, 255
LATIN CAPITAL LETTER A WITH MACRON, 256
LATIN SMALL LETTER A WITH MACRON, 257
LATIN CAPITAL LETTER A WITH BREVE, 258
LATIN SMALL LETTER A WITH BREVE, 259
LATIN CAPITAL LETTER A WITH OGONEK, 260
LATIN SMALL LETTER A WITH OGONEK, 261
LATIN CAPITAL LETTER C WITH ACUTE, 262
LATIN SMALL LETTER C WITH ACUTE, 263
LATIN CAPITAL LETTER C WITH CIRCUMFLEX, 264
LATIN SMALL LETTER C WITH CIRCUMFLEX, 265
LATIN CAPITAL LETTER C WITH DOT ABOVE, 266
LATIN SMALL LETTER C WITH DOT ABOVE, 267
LATIN CAPITAL LETTER C WITH CARON, 268
LATIN SMALL LETTER C WITH CARON, 269
LATIN CAPITAL LETTER D WITH CARON, 270
LATIN SMALL LETTER D WITH CARON, 271
LATIN CAPITAL LETTER D WITH STROKE, 272
LATIN SMALL LETTER D WITH STROKE, 273
LATIN CAPITAL LETTER E WITH MACRON, 274
LATIN SMALL LETTER E WITH MACRON, 275
LATIN CAPITAL LETTER E WITH BREVE, 276
LATIN SMALL LETTER E WITH BREVE, 277
LATIN CAPITAL LETTER E WITH DOT ABOVE, 278
LATIN SMALL LETTER E WITH DOT ABOVE, 279
LATIN CAPITAL LETTER E WITH OGONEK, 280
LATIN SMALL LETTER E WITH OGONEK, 281
LATIN CAPITAL LETTER E WITH CARON, 282
LATIN SMALL LETTER E WITH CARON, 283
LATIN CAPITAL LETTER G WITH CIRCUMFLEX, 284
LATIN SMALL LETTER G WITH CIRCUMFLEX, 285
LATIN CAPITAL LETTER G WITH BREVE, 286
LATIN SMALL LETTER G WITH BREVE, 287
LATIN CAPITAL LETTER G WITH DOT ABOVE, 288
LATIN SMALL LETTER G WITH DOT ABOVE, 289
LATIN CAPITAL LETTER G WITH CEDILLA, 290
LATIN SMALL LETTER G WITH CEDILLA, 291
LATIN CAPITAL LETTER H WITH CIRCUMFLEX, 292
LATIN SMALL LETTER H WITH CIRCUMFLEX, 293
LATIN CAPITAL LETTER H WITH STROKE, 294
LATIN SMALL LETTER H WITH STROKE, 295
LATIN CAPITAL LETTER I WITH TILDE, 296
LATIN SMALL LETTER I WITH TILDE, 297
LATIN CAPITAL LETTER I WITH MACRON, 298
LATIN SMALL LETTER I WITH MACRON, 299
LATIN CAPITAL LETTER I WITH BREVE, 300
LATIN SMALL LETTER I WITH BREVE, 301
LATIN CAPITAL LETTER I WITH OGONEK, 302
LATIN SMALL LETTER I WITH OGONEK, 303
LATIN CAPITAL LETTER I WITH DOT ABOVE, 304
LATIN SMALL LETTER DOTLESS I, 305
LATIN CAPITAL LIGATURE IJ, 306
LATIN SMALL LIGATURE IJ, 307
LATIN CAPITAL LETTER J WITH CIRCUMFLEX, 308
LATIN SMALL LETTER J WITH CIRCUMFLEX, 309
LATIN CAPITAL LETTER K WITH CEDILLA, 310
LATIN SMALL LETTER K WITH CEDILLA, 311
LATIN SMALL LETTER KRA, 312
LATIN CAPITAL LETTER L WITH ACUTE, 313
LATIN SMALL LETTER L WITH ACUTE, 314
LATIN CAPITAL LETTER L WITH CEDILLA, 315
LATIN SMALL LETTER L WITH CEDILLA, 316
LATIN CAPITAL LETTER L WITH CARON, 317
LATIN SMALL LETTER L WITH CARON, 318
LATIN CAPITAL LETTER L WITH MIDDLE DOT, 319
LATIN SMALL LETTER L WITH MIDDLE DOT, 320
LATIN CAPITAL LETTER L WITH STROKE, 321
LATIN SMALL LETTER L WITH STROKE, 322
